"Please fill the answer sheet normal as ¡®0¡¯, abnormal as ¡®1¡¯. ",,
Test data Number 1,,0
Test data Number 2,,0
Test data Number 3,,1
Test data Number 4,,1
Test data Number 5,,1
Test data Number 6,,0
Test data Number 7,,1
Test data Number 8,,0
Test data Number 9,,0
Test data Number 10,,1
Test data Number 11,,0
Test data Number 12,,0
Test data Number 13,,0
Test data Number 14,,0
Test data Number 15,,1
Test data Number 16,,1
Test data Number 17,,1
Test data Number 18,,0
Test data Number 19,,1
Test data Number 20,,0
Test data Number 21,,0
Test data Number 22,,1
Test data Number 23,,1
Test data Number 24,,1
Test data Number 25,,1
Test data Number 26,,1
Test data Number 27,,0
Test data Number 28,,1
Test data Number 29,,0
Test data Number 30,,1
Test data Number 31,,1
Test data Number 32,,0
Test data Number 33,,0
Test data Number 34,,1
Test data Number 35,,0
Test data Number 36,,1
Test data Number 37,,1
Test data Number 38,,0
Test data Number 39,,0
Test data Number 40,,1
Test data Number 41,,0
Test data Number 42,,0
Test data Number 43,,1
Test data Number 44,,1
Test data Number 45,,0
Test data Number 46,,0
Test data Number 47,,1
Test data Number 48,,1
Test data Number 49,,0
Test data Number 50,,1
